,PopulationChange,YearlyChange,NetChange,Density(P/Km?),Land Area(Km?),Migrants(net),Fert.Rate,Med.Age,UrbanPop %,WorldShare
Mongolia,3278290.00 ,0.016500000 ,53123.00 ,2.00 ,1553560.00 ,-852.00 ,2.90 ,28.00 ,0.67 ,0.00 
Armenia,2963243.00 ,0.001900000 ,5512.00 ,104.00 ,28470.00 ,-4998.00 ,1.80 ,35.00 ,0.63 ,0.00 
Jamaica,2961167.00 ,0.004400000 ,12888.00 ,273.00 ,10830.00 ,-11332.00 ,2.00 ,31.00 ,0.55 ,0.00 
Qatar,2881053.00 ,0.017300000 ,48986.00 ,248.00 ,11610.00 ,40000.00 ,1.90 ,32.00 ,0.96 ,0.00 
Albania,2877797.00 ,-0.001100000 ,-3120.00 ,105.00 ,27400.00 ,-14000.00 ,1.60 ,36.00 ,0.63 ,0.00 
Puerto Rico,2860853.00 ,-0.024700000 ,-72555.00 ,323.00 ,8870.00 ,-97986.00 ,1.20 ,44.00 ,N.A.,0.00 
Lithuania,2722289.00 ,-0.013500000 ,-37338.00 ,43.00 ,62674.00 ,-32780.00 ,1.70 ,45.00 ,0.71 ,0.00 
Namibia,2540905.00 ,0.018600000 ,46375.00 ,3.00 ,823290.00 ,-4806.00 ,3.40 ,22.00 ,0.55 ,0.00 
Gambia,2416668.00 ,0.029400000 ,68962.00 ,239.00 ,10120.00 ,-3087.00 ,5.30 ,18.00 ,0.59 ,0.00 
Botswana,2351627.00 ,0.020800000 ,47930.00 ,4.00 ,566730.00 ,3000.00 ,2.90 ,24.00 ,0.73 ,0.00 
Gabon,2225734.00 ,0.024500000 ,53155.00 ,9.00 ,257670.00 ,3260.00 ,4.00 ,23.00 ,0.87 ,0.00 
Lesotho,2142249.00 ,0.008000000 ,16981.00 ,71.00 ,30360.00 ,-10047.00 ,3.20 ,24.00 ,0.31 ,0.00 
North Macedonia,2083374.00 ,0.000000000 ,-85.00 ,83.00 ,25220.00 ,-1000.00 ,1.50 ,39.00 ,0.59 ,0.00 
Slovenia,2078938.00 ,0.000100000 ,284.00 ,103.00 ,20140.00 ,2000.00 ,1.60 ,45.00 ,0.55 ,0.00 
Guinea-Bissau,1968001.00 ,0.024500000 ,47079.00 ,70.00 ,28120.00 ,-1399.00 ,4.50 ,19.00 ,0.45 ,0.00 
Latvia,1886198.00 ,-0.010800000 ,-20545.00 ,30.00 ,62200.00 ,-14837.00 ,1.70 ,44.00 ,0.69 ,0.00 
Bahrain,1701575.00 ,0.036800000 ,60403.00 ,2239.00 ,760.00 ,47800.00 ,2.00 ,32.00 ,0.89 ,0.00 
Equatorial Guinea,1402985.00 ,0.034700000 ,46999.00 ,50.00 ,28050.00 ,16000.00 ,4.60 ,22.00 ,0.73 ,0.00 
Trinidad and Tobago,1399488.00 ,0.003200000 ,4515.00 ,273.00 ,5130.00 ,-800.00 ,1.70 ,36.00 ,0.52 ,0.00 
Estonia,1326535.00 ,0.000700000 ,887.00 ,31.00 ,42390.00 ,3911.00 ,1.60 ,42.00 ,0.68 ,0.00 
Timor-Leste,1318445.00 ,0.019600000 ,25326.00 ,89.00 ,14870.00 ,-5385.00 ,4.10 ,21.00 ,0.33 ,0.00 
Mauritius,1271768.00 ,0.001700000 ,2100.00 ,626.00 ,2030.00 ,0.00 ,1.40 ,37.00 ,0.41 ,0.00 
Cyprus,1207359.00 ,0.007300000 ,8784.00 ,131.00 ,9240.00 ,5000.00 ,1.30 ,37.00 ,0.67 ,0.00 
Eswatini,1160164.00 ,0.010500000 ,12034.00 ,67.00 ,17200.00 ,-8353.00 ,3.00 ,21.00 ,0.30 ,0.00 
